"filename", "language", "JSON with Comments", "JSON", "SCSS", "XML", "TypeScript", "HTML", "JavaScript", "Swift", "comment", "blank", "total"
"c:\Users\oscar\Proyect1\src\app\detail\detail.page.ts", "TypeScript", 0, 0, 0, 0, 580, 0, 0, 0, 5, 114, 699
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 2, 10, 37
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.html", "HTML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 0, 0, 4, 21, 110
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 8, 13, 55
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 3, 11, 47
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.html", "HTML", 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 8, 12, 75
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.module.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 8, 15, 68
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 1, 12, 65
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 3, 13, 69
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 2, 10, 41
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 1, 12, 65
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
